areacd,areanm,cvd_mortality_rate_period,cvd_mortality_rate,employment_rate,econ_inactivity_rate,gdhi_per_head,child_poverty_pct,no_qualifications_pct,level3_plus_qual_pct,fuel_poverty_pct,housing_affordability_ratio,avg_house_price,ghg_emissions,air_pollution_regulating,domestic_gas_consumption,domestic_elec_consumption,coverage_4g_pct,coverage_5g_pct,gigabit_broadband_pct,premises_below_30mbps_pct,adult_obesity_pct,cigarette_smokers_pct,population_density,median_age,job_density
E06000020,Telford and Wrekin,2022-01-01/P3Y,30.942797188154604,74.6,22.5,20279,33.02785082,11.9,56.9,10.673121543150264,6.38,220519.0,4.48,9.340173,9100.998231,2403.5,99.83,97.64,87.1,1.5,33.41304,12.6,675,39.0,0.81
E07000076,Tendring,2022-01-01/P3Y,32.6312263926069,66.6,32.9,23116,33.58489043,9.1,49.3,10.854278452414572,7.26,261717.0,3.97,4.982799,9423.960596,2472.0,100.0,98.78,79.4,0.8,36.36275,14.8,466,50.0,0.59
E07000093,Test Valley,2022-01-01/P3Y,21.739385033528105,85.9,13.6,28128,17.29381548,3.8,76.8,7.523612700473108,9.0,372348.0,5.52,6.918097,9047.897381,2749.85,99.92,73.29,75.6,4.2,24.36444,7.8,215,44.0,0.89
E07000083,Tewkesbury,2022-01-01/P3Y,23.0217537054038,76.3,23.7,26150,19.80583532,11.3,62.7,7.796188325305925,8.28,329883.0,6.97,10.374237,8720.505351,2519.4,99.86,95.74,87.7,4.2,25.88327,9.8,246,43.0,0.9
E07000114,Thanet,2022-01-01/P3Y,32.7348136809517,71.9,21.2,23099,34.84562809,17.0,62.4,10.419239225371202,8.13,268760.0,3.45,3.139607,8685.281688,2291.6,100.0,100.0,79.2,1.8,34.76916,14.5,1377,44.0,0.67
E07000102,Three Rivers,2022-01-01/P3Y,22.5769774768815,74.7,20.2,36455,14.66609405,3.2,86.9,7.500967617081667,12.39,580120.0,5.84,4.293449,12472.84486,2940.2,100.0,99.99,91.5,1.3,24.1645,7.2,1079,42.0,0.87
E06000034,Thurrock,2022-01-01/P3Y,30.3781877840177,78.1,19.4,23074,26.91783157,7.0,58.1,8.198410994202277,8.45,327176.0,5.17,6.783189,9701.173648,2797.1,100.0,100.0,92.8,1.3,31.79624,13.5,1105,36.0,0.73
E07000115,Tonbridge and Malling,2022-01-01/P3Y,22.9638293134934,86.3,13.7,28282,16.90337773,5.4,60.5,7.271458478715981,9.78,405932.0,5.51,5.993005,10131.1667,2736.5,99.98,98.15,85.5,3.0,27.32086,7.0,570,42.0,0.88
E06000027,Torbay,2022-01-01/P3Y,32.0734943367805,74.1,24.3,22335,31.63331181,5.2,61.2,10.24557618255645,7.46,223577.0,2.78,2.996598,8016.738245,2396.6,100.0,99.51,87.8,1.8,27.88613,13.8,2229,49.0,0.74
E07000046,Torridge,2022-01-01/P3Y,22.264028270856105,79.4,20.6,22672,29.70493664,9.8,73.4,11.301295393122302,8.06,260783.0,8.61,1.844906,7422.090078,2701.6,99.42,46.7,60.0,12.7,26.97859,8.4,71,52.0,0.86
E09000030,Tower Hamlets,2022-01-01/P3Y,42.13990789724001,66.2,28.9,31111,50.34144602,9.5,70.7,7.034923150779922,9.62,456898.0,2.98,13.066304,7031.74175,2155.3,100.0,100.0,86.7,3.0,16.57765,12.1,16787,30.0,1.47
E08000009,Trafford,2022-01-01/P3Y,30.6151215553074,75.0,21.4,28557,15.80529564,4.5,74.4,8.837209302325581,8.67,396811.0,5.85,9.88364,11339.7546,2669.05,100.0,100.0,94.0,0.9,23.47297,8.6,2273,40.0,1.19
E07000116,Tunbridge Wells,2022-01-01/P3Y,19.8077723030288,82.9,14.3,33378,16.35093882,8.1,68.8,9.31969885128842,8.98,445133.0,3.49,5.540426,10931.88785,2849.9,99.97,98.45,80.8,3.2,22.24649,12.2,361,43.0,0.92
E07000077,Uttlesford,2022-01-01/P3Y,19.6625209226238,75.7,15.9,33280,13.87327824,3.8,64.7,9.324966429087905,9.22,482652.0,8.83,4.668098,11171.1837,3030.1,99.98,97.44,82.9,3.6,21.11904,13.1,148,44.0,1.03
E07000180,Vale of White Horse,2022-01-01/P3Y,17.0355674234531,81.4,12.0,29226,16.00178064,4.7,80.8,7.765552264071096,9.05,414441.0,5.55,7.511618,10008.90971,2698.6,100.0,95.59,84.4,1.5,21.014,7.3,259,41.0,0.87
E08000036,Wakefield,2022-01-01/P3Y,35.1445305614749,73.9,22.4,20706,27.47307061,6.8,58.6,10.794478603968036,5.81,198519.0,4.78,16.596934,9653.471289,2278.2,100.0,99.99,95.3,1.1,36.17819,13.7,1086,40.0,0.79
